N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
30,        CEventPotentialGetRunOver,CEventPotentialGetRunOver,CEventEditableResponse,0x85AE88,,0x0C,0x44,
31,        CEventPotentialWalkIntoPed,CEventPotentialWalkIntoPed,CEventEditableResponse,0x85AF60,,0x0D,0x44,
32,        CEventSoundQuiet,CEventSoundQuiet,CEventEditableResponse,0x86C2B0,,0x3E,0x44,
33,        CEventDamage,CEventDamage,CEventEditableResponse,0x85AD78,,0x09,0x44,
34,        CEventHealthLow,CEventHealthLow,CEventEditableResponse,0x86CBA0,,0x35,0x44,
35,        CEventLeaderExitedCarAsDriver,CEventLeaderExitedCarAsDriver,CEventEditableResponse,0x85B898,,0x37,0x44,
36,        CEventSpecial,CEventSpecial,CEventEditableResponse,0x85B5D0,,0x2A,0x44,
37,        CEventPlayerCommandToGroup,CEventPlayerCommandToGroup,CEventEditableResponse,0x85B800,,none,0x44,
38,            CEventPlayerCommandToGroupAttack,CEventPlayerCommandToGroupAttack,CEventPlayerCommandToGroup,0x86C710,,0x47,0x44,
39,            CEventPlayerCommandToGroupGather,CEventPlayerCommandToGroupGather,CEventPlayerCommandToGroup,0x86D120,,0x4C,0x44,
40,        CEventLowAngerAtPlayer,CEventLowAngerAtPlayer,CEventEditableResponse,0x86CC30,,0x32,0x44,
41,        CEventPotentialWalkIntoVehicle,CEventPotentialWalkIntoVehicle,CEventEditableResponse,0x85AED0,,0x38,0x44,
42,        CEventFireNearby,CEventFireNearby,CEventEditableResponse,0x85B6E8,,0x3B,0x44,
43,        CEventGunShot,CEventGunShot,CEventEditableResponse,0x85ABE0,,0x0F,0x44,
44,            CEventGunShotWhizzedBy,CEventGunShotWhizzedBy,CEventGunShot,0x85B730,,0x31,0x44,
45,        CEventGotKnockedOverByCar,CEventGotKnockedOverByCar,CEventEditableResponse,0x85B618,,0x2B,0x44,
46,        CEventAttractor,CEventAttractor,CEventEditableResponse,0x85B1B8,,0x1B,0x44,
47,            CEventScriptedAttractor,CEventScriptedAttractor,CEventAttractor,0x86C9F0,,0x30,0x44,
48,        CEventHighAngerAtPlayer,CEventHighAngerAtPlayer,CEventEditableResponse,0x86CC78,,0x33,0x44,
49,        CEventSexyPed,CEventSexyPed,CEventEditableResponse,0x85B0B0,,0x14,0x44,
50,        CEventGunAimedAt,CEventGunAimedAt,CEventEditableResponse,0x85B330,,0x1F,0x44,
51,    CEventVehicleToSteal,CEventVehicleToSteal,CEvent,0x85B210,,0x1C,0x40,
52,    CEventCarUpsideDown,CEventCarUpsideDown,CEvent,0x85B660,,0x2D,0x40,
53,    CEventGroupEvent,CEventGroupEvent,CEvent,0x85AE48,,0x2F,0x40,
54,    CEventScriptCommand,CEventScriptCommand,CEvent,0x85B378,,0x20,0x44,
55,    CEventHitByWaterCannon,CEventHitByWaterCannon,CEvent,0x85B488,,0x40,0x40,
56,    CEventObjectCollision,CEventObjectCollision,CEvent,0x85ACA8,,0x05,0x40,
57,    CEventOnFire,CEventOnFire,CEvent,0x86CCC0,,0x3A,0x40,
58,    CEventLeanOnVehicle,CEventLeanOnVehicle,CEvent,0x86F878,,0x5C,0x40,
59,    CEventEscalator,CEventEscalator,CEvent,0x86CD00,,0x4A,0x40,
60,    CEventPedCollisionWithPed,CEventPedCollisionWithPed,CEvent,0x85AC68,,0x02,0x40,
61,        CEventPlayerCollisionWithPed,CEventPlayerCollisionWithPed,CEventPedCollisionWithPed,0x86C9B0,,0x04,0x40,
62,        CEventPedCollisionWithPlayer,CEventPedCollisionWithPlayer,CEventPedCollisionWithPed,0x86C970,,0x03,0x40,
63,    CEventPedToChase,CEventPedToChase,CEvent,0x85B138,,0x19,0x40,
64,    CEventAreaCodes,CEventAreaCodes,CEvent,0x85B7C0,,0x43,0x40,
65,        CEventLeaderEntryExit,CEventLeaderEntryExit,CEventAreaCodes,0x859540,,0x4D,0x40,
66,    CEventInAir,CEventInAir,CEvent,0x85B3C0,,0x21,0x40,
67,    CEventCopCarBeingStolen,CEventCopCarBeingStolen,CEvent,0x85B548,,0x10,0x40,
68,    CEventLeaderQuitEnteringCarAsDriver,CEventLeaderQuitEnteringCarAsDriver,CEvent,0x86E6B0,,0x39,0x40,
69,    CEventInWater,CEventInWater,CEvent,0x85B4C8,,0x42,0x40,
70,    CEventPassObject,CEventPassObject,CEvent,0x86F8B8,,0x59,0x40,
71,    CEventPedToFlee,CEventPedToFlee,CEvent,0x85B178,,0x1A,0x40,
72,    CEventNewGangMember,CEventNewGangMember,CEvent,0x86D0A0,,0x5A,0x40,
73,    CEventChatPartner,CEventChatPartner,CEvent,0x85B070,,0x13,0x40,
74,    CEventKnockOffBike,CEventKnockOffBike,CEvent,0x85B2E0,,0x08,0x40,
75,    CEventVehicleDied,CEventVehicleDied,CEvent,0x85B400,,0x23,0x40,
76,    CEventDeath,CEventDeath,CEvent,0x85ADC0,,0x0A,0x40,
77,    CEventStuckInAir,CEventStuckInAir,CEvent,0x85B508,,0x5D,0x40,
78,    CEventVehicleHitAndRun,CEventVehicleHitAndRun,CEvent,0x85AFA8,,0x0E,0x40,
79,    CEventCreatePartnerTask,CEventCreatePartnerTask,CEvent,0x86C6D0,,0x46,0x40,
