ClassName,ParentTable,MethodName,MethodDecl
CVehicle,CPhysical,_ZNK$CN$18GetHeightAboveRoadEv,float __thiscall f($CN$ *this)
CVehicle,CPhysical,_ZN$CN$11PlayCarHornEv,void __thiscall f($CN$ *this)
CVehicle,CPhysical,_ZN$CN$19GetNumContactWheelsEv,int __thiscall f($CN$ *this)
CVehicle,CPhysical,_ZN$CN$13VehicleDamageEftP7CEntityP7CVectorS3_11eWeaponType,"void __thiscall f($CN$ *this, float damageIntensity, unsigned short collisionComponent, CEntity* damager, CVector* collisionCoors, CVector* collisionDirection, eWeaponType weapon)"
CVehicle,CPhysical,_ZNK$CN$16CanPedStepOutCarEb,"bool __thiscall f($CN$ *this, bool arg0)"
CVehicle,CPhysical,_ZNK$CN$16CanPedJumpOutCarEP4CPed,"bool __thiscall f($CN$ *this, struct CPed *ped)"
CVehicle,CPhysical,_ZN$CN$14GetTowHitchPosER7CVectorbPS_,"bool __thiscall f($CN$ *this, CVector& posnOut, bool arg1, CVehicle* arg2)"
CVehicle,CPhysical,_ZN$CN$12GetTowBarPosER7CVectorbPS_,"bool __thiscall f($CN$ *this, CVector& posnOut, bool arg1, CVehicle* arg2)"
CVehicle,CPhysical,_ZN$CN$10SetTowLinkEPS_b,"bool __thiscall f($CN$ *this, CVehicle* arg0, bool arg1)"
CVehicle,CPhysical,_ZN$CN$12BreakTowLinkEv,bool __thiscall f($CN$ *this)
CVehicle,CPhysical,_ZN$CN$14FindWheelWidthEb,"bool __thiscall f($CN$ *this, bool rear)"
CVehicle,CPhysical,_ZN$CN$4SaveEv,bool __thiscall f($CN$ *this)
CVehicle,CPhysical,_ZN$CN$4LoadEv,bool __thiscall f($CN$ *this)
CAutomobile,CVehicle,_ZN$CN$9ProcessAIERj,"bool __thiscall f($CN$ *this, unsigned int* ref_arg0)"
CAutomobile,CVehicle,_ZN$CN$15ResetSuspensionEv,void __thiscall f($CN$ *this)
CAutomobile,CVehicle,_ZN$CN$21ProcessFlyingCarStuffEv,void __thiscall f($CN$ *this)
CAutomobile,CVehicle,_ZN$CN$23DoHoverSuspensionRatiosEv,void __thiscall f($CN$ *this)
CAutomobile,CVehicle,_ZN$CN$17ProcessSuspensionEv,void __thiscall f($CN$ *this)
CBike,CVehicle,_ZN$CN$9ProcessAIERj,"bool __thiscall f($CN$ *this, unsigned int* ref_arg0)"
